Vector Configuration, Seconds, # Data Comparisons, # Loop Comparisons, # Data Assignments, # Loop Assignments, # Other, # Total,BUBBLE
Sorted N=500,0.003536,124750,125751,0,501,1,251003,
Sorted N=1000,0.017495,499500,501501,0,1001,1,1002003,
Sorted N=5000,0.145241,12497500,12507501,0,5001,1,25010003,
Sorted N=10000,0.570822,49995000,50015001,0,10001,1,100020003,
Descending sorted N=500,0.003119,124750,125751,374250,501,1,625253,
Descending sorted N=1000,0.012241,499500,501501,1498500,1001,1,2500503,
Descending sorted N=5000,0.311838,12497500,12507501,37492500,5001,1,62502503,
Descending sorted N=10000,1.26667,49995000,50015001,149985000,10001,1,250005003,
Random N=500,0.002556,124750,125751,136728,501,1,387731,
Random N=1000,0.010116,499500,501501,572214,1001,1,1574217,
Random N=5000,0.241436,12497500,12507501,13548246,5001,1,38558249,
Random N=10000,0.951313,49995000,50015001,55218288,10001,1,155238291,
,,,,,,,,
,,,,,,,,
Vector Configuration, Seconds, # Data Comparisons, # Loop Comparisons, # Data Assignments, # Loop Assignments, # Other, # Total,INSERTION
Sorted N=500,9E-06,998,500,1497,1,3,2999,
Sorted N=1000,1.7E-05,1998,1000,2997,1,3,5999,
Sorted N=5000,7.8E-05,9998,5000,14997,1,3,29999,
Sorted N=10000,0.00016,19998,10000,29997,1,3,59999,
Descending sorted N=500,0.001432,250498,500,126247,124751,3,501999,
Descending sorted N=1000,0.005832,1000998,1000,502497,499501,3,2003999,
Descending sorted N=5000,0.143005,25004998,5000,12512497,12497501,3,50019999,
Descending sorted N=10000,0.580164,100009998,10000,50024997,49995001,3,200039999,
Random sorted N=500,0.000808,124540,500,63268,61772,3,250083,
Random sorted N=1000,0.003406,513582,1000,258789,255793,3,1029167,
Random sorted N=5000,0.070924,12378974,5000,6199485,6184489,3,24767951,
Random sorted N=10000,0.287735,50074904,10000,25057450,25027454,3,100169811,
,,,,,,,,
,,,,,,,,
Vector Configuration, Seconds, # Data Comparisons, # Loop Comparisons, # Data Assignments, # Loop Assignments, # Other, # Total,SELECTION
Sorted N=500,0.001312,125750,126251,1000,501,4,253506,
Sorted N=1000,0.00497,501500,502501,2000,1001,4,1007006,
Sorted N=5000,0.114791,12507500,12512501,10000,5001,4,25035006,
Sorted N=10000,0.45415,50015000,50025001,20000,10001,4,100070006,
Descending sorted N=500,0.001371,125750,126251,189250,501,4,441756,
Descending sorted N=1000,0.00527,501500,502501,753500,1001,4,1758506,
Descending sorted N=5000,0.129799,12507500,12512501,18767500,5001,4,43792506,
Descending sorted N=10000,0.523031,50015000,50025001,75035000,10001,4,175085006,
Random N=500,0.001251,125750,126251,9433,501,4,261939,
Random N=1000,0.004537,501500,502501,20456,1001,4,1025462,
Random N=5000,0.110752,12507500,12512501,123760,5001,4,25148766,
Random N=10000,0.446071,50015000,50025001,274184,10001,4,100324190,
