Vector Configuration, Seconds, # Data Comparisons, # Loop Comparisons, # Data Assignments, # Loop Assignments, # Other, # Total
Sorted N=500,9e-06,998,500,1497,1,3,2999
Sorted N=1000,1.7e-05,1998,1000,2997,1,3,5999
Sorted N=5000,8.2e-05,9998,5000,14997,1,3,29999
Sorted N=10000,0.000164,19998,10000,29997,1,3,59999
Descending sorted N=500,0.001661,250498,500,126247,124751,3,501999
Descending sorted N=1000,0.006482,1000998,1000,502497,499501,3,2003999
Descending sorted N=5000,0.168176,25004998,5000,12512497,12497501,3,50019999
Descending sorted N=10000,0.642341,100009998,10000,50024997,49995001,3,200039999
Random sorted N=500,0.00079,122038,500,62017,60521,3,245079
Random sorted N=1000,0.003095,486536,1000,245266,242270,3,975075
Random sorted N=5000,0.081624,12577592,5000,6298794,6283798,3,25165187
Random sorted N=10000,0.311406,49442456,10000,24741226,24711230,3,98904915
